t_fs,rho10_abs,rho20_abs,rho12_abs,rho22_pop
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,9.985290432462700094e-01,9.935532753089969527e-01,9.943069958065471337e-01,9.900586355291638441e-01
4.000000000000000000e+00,9.970602502063113937e-01,9.871481108772355295e-01,9.886464019098408773e-01,9.802161017858697090e-01
6.000000000000000000e+00,9.955936176973947394e-01,9.807842387771662507e-01,9.830180337979260718e-01,9.704714162578340630e-01
8.000000000000000000e+00,9.941291425414722216e-01,9.744613928084948640e-01,9.774217080092746368e-01,9.608236062002863953e-01
1.000000000000000000e+01,9.926668215651710536e-01,9.681793084870471411e-01,9.718572421268059092e-01,9.512717085388662230e-01
1.200000000000000000e+01,9.912066515997861593e-01,9.619377230337053941e-01,9.663244547719403998e-01,9.418147697734862156e-01
1.400000000000000000e+01,9.897486294812732899e-01,9.557363753634167125e-01,9.608231655986876341e-01,9.324518458831513312e-01
1.600000000000000000e+01,9.882927520502428065e-01,9.495750060742716991e-01,9.553531952877676314e-01,9.231820022317229757e-01
1.800000000000000000e+01,9.868390161519521309e-01,9.434533574366532616e-01,9.499143655407658038e-01,9.140043134746211884e-01
2.000000000000000000e+01,9.853874186362991949e-01,9.373711733824566794e-01,9.445064990743210487e-01,9.049178634664535315e-01
2.200000000000000000e+01,9.839379563578155574e-01,9.313281994943775066e-01,9.391294196143473716e-01,8.959217451695631329e-01
2.400000000000000000e+01,9.824906261756597425e-01,9.253241829952696396e-01,9.337829518902879267e-01,8.870150605634848917e-01
2.600000000000000000e+01,9.810454249536102456e-01,9.193588727375718861e-01,9.284669216294016980e-01,8.781969205553025182e-01
2.800000000000000000e+01,9.796023495600588715e-01,9.134320191928018140e-01,9.231811555510831546e-01,8.694664448908963061e-01
3.000000000000000000e+01,9.781613968680037408e-01,9.075433744411188774e-01,9.179254813612142128e-01,8.608227620670736435e-01
3.200000000000000000e+01,9.767225637550428496e-01,9.016926921609530465e-01,9.126997277465475067e-01,8.522650092445730463e-01
3.400000000000000000e+01,9.752858471033668541e-01,8.958797276187020486e-01,9.075037243691230771e-01,8.437923321619321682e-01
3.600000000000000000e+01,9.738512437997528526e-01,8.901042376584934468e-01,9.023373018607155904e-01,8.354038850502135682e-01
3.800000000000000000e+01,9.724187507355572802e-01,8.843659806920139976e-01,8.972002918173135333e-01,8.270988305485768022e-01
4.000000000000000000e+01,9.709883648067091366e-01,8.786647166884036242e-01,8.920925267936303804e-01,8.188763396206910627e-01
4.200000000000000000e+01,9.695600829137035470e-01,8.730002071642153361e-01,8.870138402976462944e-01,8.107355914719776013e-01
4.400000000000000000e+01,9.681339019615945451e-01,8.673722151734389874e-01,8.819640667851810223e-01,8.026757734676757128e-01
4.600000000000000000e+01,9.667098188599891895e-01,8.617805052975904267e-01,8.769430416544982121e-01,7.946960810517231799e-01
4.800000000000000000e+01,9.652878305230400136e-01,8.562248436358633752e-01,8.719506012409398155e-01,7.867957176664428509e-01
5.000000000000000000e+01,9.638679338694388088e-01,8.507049977953458075e-01,8.669865828115913553e-01,7.789738946730275782e-01
5.200000000000000000e+01,9.624501258224097411e-01,8.452207368812988397e-01,8.620508245599775021e-01,7.712298312728163019e-01
5.400000000000000000e+01,9.610344033097030225e-01,8.397718314874983436e-01,8.571431656007880706e-01,7.635627544293517310e-01
5.600000000000000000e+01,9.596207632635878060e-01,8.343580536866390673e-01,8.522634459646333260e-01,7.559718987912139587e-01
5.800000000000000000e+01,9.582092026208456348e-01,8.289791770208001509e-01,8.474115065928299328e-01,7.484565066156204649e-01
6.000000000000000000e+01,9.567997183227643365e-01,8.236349764919728145e-01,8.425871893322167683e-01,7.410158276927857335e-01
6.200000000000000000e+01,9.553923073151304735e-01,8.183252285526483316e-01,8.377903369299987135e-01,7.336491192710334897e-01
6.400000000000000000e+01,9.539869665482236805e-01,8.130497110964672869e-01,8.330207930286219753e-01,7.263556459826521206e-01
6.600000000000000000e+01,9.525836929768091155e-01,8.078082034489287855e-01,8.282784021606766078e-01,7.191346797704889493e-01
6.800000000000000000e+01,9.511824835601319084e-01,8.026004863581597260e-01,8.235630097438293440e-01,7.119854998152724823e-01
7.000000000000000000e+01,9.497833352619095004e-01,7.974263419857435808e-01,8.188744620757850701e-01,7.049073924636584110e-01
7.200000000000000000e+01,9.483862450503257602e-01,7.922855538976077971e-01,8.142126063292760563e-01,6.978996511569903749e-01
7.400000000000000000e+01,9.469912098980243220e-01,7.871779070549710378e-01,8.095772905470812741e-01,6.909615763607692696e-01
7.600000000000000000e+01,9.455982267821019249e-01,7.821031878053477104e-01,8.049683636370725814e-01,6.840924754948234376e-01
7.800000000000000000e+01,9.442072926841017511e-01,7.770611838736107835e-01,8.003856753672897728e-01,6.772916628641728609e-01
8.000000000000000000e+01,9.428184045900068755e-01,7.720516843531126661e-01,7.958290763610441632e-01,6.705584595905813572e-01
8.200000000000000000e+01,9.414315594902343820e-01,7.670744796968630430e-01,7.912984180920490385e-01,6.638921935447889000e-01
8.400000000000000000e+01,9.400467543796275915e-01,7.621293617087628869e-01,7.867935528795783062e-01,6.572921992794172885e-01
8.600000000000000000e+01,9.386639862574509552e-01,7.572161235348966457e-01,7.823143338836531235e-01,6.507578179625430614e-01
8.800000000000000000e+01,9.372832521273825046e-01,7.523345596548786096e-01,7.778606151002551705e-01,6.442883973119314378e-01
9.000000000000000000e+01,9.359045489975076348e-01,7.474844658732565650e-01,7.734322513565675683e-01,6.378832915299226247e-01
9.200000000000000000e+01,9.345278738803132201e-01,7.426656393109702936e-01,7.690290983062428865e-01,6.315418612389670505e-01
9.400000000000000000e+01,9.331532237926800644e-01,7.378778783968645838e-01,7.646510124246981288e-01,6.252634734178001974e-01
9.600000000000000000e+01,9.317805957558772390e-01,7.331209828592586408e-01,7.602978510044363647e-01,6.190475013382528147e-01
9.800000000000000000e+01,9.304099867955556435e-01,7.283947537175674558e-01,7.559694721503948944e-01,6.128933245026888521e-01
1.000000000000000000e+02,9.290413939417409006e-01,7.236989932739793518e-01,7.516657347753202822e-01,6.068003285820651183e-01
1.020000000000000000e+02,9.276748142288275822e-01,7.190335051051859327e-01,7.473864985951695905e-01,6.007679053546076675e-01
1.040000000000000000e+02,9.263102446955724378e-01,7.143980940541657665e-01,7.431316241245371490e-01,5.947954526450967006e-01
1.060000000000000000e+02,9.249476823850881768e-01,7.097925662220213594e-01,7.389009726721087468e-01,5.888823742647557591e-01
1.080000000000000000e+02,9.235871243448370294e-01,7.052167289598674227e-01,7.346944063361400268e-01,5.830280799517385537e-01
1.100000000000000000e+02,9.222285676266238630e-01,7.006703908607734288e-01,7.305117879999619701e-01,5.772319853122065414e-01
1.120000000000000000e+02,9.208720092865907425e-01,6.961533617517565720e-01,7.263529813275113600e-01,5.714935117619934779e-01
1.140000000000000000e+02,9.195174463852097135e-01,6.916654526858266872e-01,7.222178507588868923e-01,5.658120864688493956e-01
1.160000000000000000e+02,9.181648759872769183e-01,6.872064759340831275e-01,7.181062615059299326e-01,5.601871422952583446e-01
1.180000000000000000e+02,9.168142951619057124e-01,6.827762449778617126e-01,7.140180795478319187e-01,5.546181177418250119e-01
1.200000000000000000e+02,9.154657009825212244e-01,6.783745745009326367e-01,7.099531716267648562e-01,5.491044568912243351e-01
1.220000000000000000e+02,9.141190905268528066e-01,6.740012803817487796e-01,7.059114052435385700e-01,5.436456093527081146e-01
1.240000000000000000e+02,9.127744608769288170e-01,6.696561796857440907e-01,7.018926486532808262e-01,5.382410302071630737e-01
1.260000000000000000e+02,9.114318091190696247e-01,6.653390906576812647e-01,6.978967708611439891e-01,5.328901799527153704e-01
1.280000000000000000e+02,9.100911323438816147e-01,6.610498327140488239e-01,6.939236416180342149e-01,5.275925244508758993e-01
1.300000000000000000e+02,9.087524276462506378e-01,6.567882264355077160e-01,6.899731314163666251e-01,5.223475348732211643e-01
1.320000000000000000e+02,9.074156921253357932e-01,6.525540935593858727e-01,6.860451114858434618e-01,5.171546876486036171e-01
1.340000000000000000e+02,9.060809228845635444e-01,6.483472569722213974e-01,6.821394537892566667e-01,5.120134644108874644e-01
1.360000000000000000e+02,9.047481170316205024e-01,6.441675407023544908e-01,6.782560310183147756e-01,5.069233519472033933e-01
1.380000000000000000e+02,9.034172716784484303e-01,6.400147699125660061e-01,6.743947165894927931e-01,5.018838421467182176e-01
1.400000000000000000e+02,9.020883839412366934e-01,6.358887708927639659e-01,6.705553846399062712e-01,4.968944319499140616e-01
1.420000000000000000e+02,9.007614509404169301e-01,6.317893710527180406e-01,6.667379100232089240e-01,4.919546232983709189e-01
1.440000000000000000e+02,8.994364698006565018e-01,6.277163989148392131e-01,6.629421683055127801e-01,4.870639230850488666e-01
1.460000000000000000e+02,8.981134376508521644e-01,6.236696841070074049e-01,6.591680357613326491e-01,4.822218431050651066e-01
1.480000000000000000e+02,8.967923516241240733e-01,6.196490573554446213e-01,6.554153893695533473e-01,4.774279000069592271e-01
1.500000000000000000e+02,8.954732088578091220e-01,6.156543504776345044e-01,6.516841068094189060e-01,4.726816152444441865e-01
1.520000000000000000e+02,8.941560064934555019e-01,6.116853963752869605e-01,6.479740664565462049e-01,4.679825150286355817e-01
1.540000000000000000e+02,8.928407416768157079e-01,6.077420290273484182e-01,6.442851473789603656e-01,4.633301302807573685e-01
1.560000000000000000e+02,8.915274115578408765e-01,6.038240834830574943e-01,6.406172293331525713e-01,4.587239965853163182e-01
