"Job","Status","TimeSvg","FreqSvg"
"08_215723_monomer_fig2_inhomogeneous_paper_eqs_n10000","synced","time_all_signals_real_imag_abs_monomer_fig2_inhomogeneous_paper_eqs_n10000_02.svg","freq_all_signals_real_imag_abs_monomer_fig2_inhomogeneous_paper_eqs_n10000_02.svg"
"08_201210_monomer_fig2_inhomogeneous_lindblad_n10000","synced","time_all_signals_real_imag_abs_monomer_fig2_inhomogeneous_lindblad_n10000_04.svg","freq_all_signals_real_imag_abs_monomer_fig2_inhomogeneous_lindblad_n10000_04.svg"
"08_200751_monomer_fig2_inhomogeneous_paper_eqs_n10000","synced","time_all_signals_real_imag_abs_monomer_fig2_inhomogeneous_paper_eqs_n10000_02.svg","freq_all_signals_real_imag_abs_monomer_fig2_inhomogeneous_paper_eqs_n10000_02.svg"
"08_120126_monomer_fig2_inhomogeneous_paper_eqs_n1000","synced","time_all_signals_real_imag_abs_monomer_fig2_inhomogeneous_paper_eqs_n1000_02.svg","freq_all_signals_real_imag_abs_monomer_fig2_inhomogeneous_paper_eqs_n1000_02.svg"
"08_114410_monomer_fig2_homogeneous_redfield_no_rwa_thermal","synced","time_all_signals_real_imag_abs_monomer_fig2_homogeneous_redfield_no_rwa_thermal_02.svg","freq_all_signals_real_imag_abs_monomer_fig2_homogeneous_redfield_no_rwa_thermal_02.svg"
"08_114405_monomer_fig2_homogeneous_paper_eqs","synced","time_all_signals_real_imag_abs_monomer_fig2_homogeneous_paper_eqs_03.svg","freq_all_signals_real_imag_abs_monomer_fig2_homogeneous_paper_eqs_03.svg"
"08_114400_monomer_fig2_homogeneous_lindblad","synced","time_all_signals_real_imag_abs_monomer_fig2_homogeneous_lindblad_02.svg","freq_all_signals_real_imag_abs_monomer_fig2_homogeneous_lindblad_02.svg"
"08_114210_monomer_fig2_inhomogeneous_paper_eqs_n100","synced","time_all_signals_real_imag_abs_monomer_fig2_inhomogeneous_paper_eqs_n100_02.svg","freq_all_signals_real_imag_abs_monomer_fig2_inhomogeneous_paper_eqs_n100_02.svg"
"08_114142_monomer_fig2_inhomogeneous_paper_eqs_n100","synced","time_all_signals_real_imag_abs_monomer_fig2_inhomogeneous_paper_eqs_n100_02.svg","freq_all_signals_real_imag_abs_monomer_fig2_inhomogeneous_paper_eqs_n100_02.svg"
"08_114130_monomer_fig2_inhomogeneous_paper_eqs_n10","synced","time_all_signals_real_imag_abs_monomer_fig2_inhomogeneous_paper_eqs_n10_02.svg","freq_all_signals_real_imag_abs_monomer_fig2_inhomogeneous_paper_eqs_n10_02.svg"
"08_111444_monomer_fig4_T040_paper_eqs","synced","time_all_signals_real_imag_abs_monomer_fig4_T040_paper_eqs_01.svg","freq_all_signals_real_imag_abs_monomer_fig4_T040_paper_eqs_01.svg"
"08_111438_monomer_fig4_T020_paper_eqs","synced","time_all_signals_real_imag_abs_monomer_fig4_T020_paper_eqs_01.svg","freq_all_signals_real_imag_abs_monomer_fig4_T020_paper_eqs_01.svg"
"08_111432_monomer_fig4_T000_paper_eqs","synced","time_all_signals_real_imag_abs_monomer_fig4_T000_paper_eqs_01.svg","freq_all_signals_real_imag_abs_monomer_fig4_T000_paper_eqs_01.svg"
"08_111427_monomer_fig3_T020_paper_eqs","synced","time_all_signals_real_imag_abs_monomer_fig3_T020_paper_eqs_01.svg","freq_all_signals_real_imag_abs_monomer_fig3_T020_paper_eqs_01.svg"
"08_111423_monomer_fig3_T000_paper_eqs","synced","time_all_signals_real_imag_abs_monomer_fig3_T000_paper_eqs_01.svg","freq_all_signals_real_imag_abs_monomer_fig3_T000_paper_eqs_01.svg"
"08_110420_monomer_fig3_T040_paper_eqs","synced","time_all_signals_real_imag_abs_monomer_fig3_T040_paper_eqs_01.svg","freq_all_signals_real_imag_abs_monomer_fig3_T040_paper_eqs_01.svg"
"07_172315_monomer_fig4_T040_lindblad","synced","time_all_signals_real_imag_abs_monomer_fig4_T040_lindblad_01.svg","freq_all_signals_real_imag_abs_monomer_fig4_T040_lindblad_01.svg"
"07_172302_monomer_fig4_T020_lindblad","synced","time_all_signals_real_imag_abs_monomer_fig4_T020_lindblad_01.svg","freq_all_signals_real_imag_abs_monomer_fig4_T020_lindblad_01.svg"
"07_172248_monomer_fig4_T000_lindblad","synced","time_all_signals_real_imag_abs_monomer_fig4_T000_lindblad_01.svg","freq_all_signals_real_imag_abs_monomer_fig4_T000_lindblad_01.svg"
"07_172238_monomer_fig3_T040_lindblad","synced","time_all_signals_real_imag_abs_monomer_fig3_T040_lindblad_03.svg","freq_all_signals_real_imag_abs_monomer_fig3_T040_lindblad_03.svg"
"07_172229_monomer_fig3_T020_lindblad","synced","time_all_signals_real_imag_abs_monomer_fig3_T020_lindblad_01.svg","freq_all_signals_real_imag_abs_monomer_fig3_T020_lindblad_01.svg"
"07_172218_monomer_fig3_T000_lindblad","synced","time_all_signals_real_imag_abs_monomer_fig3_T000_lindblad_01.svg","freq_all_signals_real_imag_abs_monomer_fig3_T000_lindblad_01.svg"
"07_172209_monomer_fig2_inhomogeneous_lindblad_n100","synced","time_all_signals_real_imag_abs_monomer_fig2_inhomogeneous_lindblad_n100_01.svg","freq_all_signals_real_imag_abs_monomer_fig2_inhomogeneous_lindblad_n100_01.svg"
"07_172159_monomer_fig2_inhomogeneous_lindblad_n10","synced","time_all_signals_real_imag_abs_monomer_fig2_inhomogeneous_lindblad_n10_01.svg","freq_all_signals_real_imag_abs_monomer_fig2_inhomogeneous_lindblad_n10_01.svg"
